id,name,code,category_id/id,struct_id/id,sequence,constitutive,constitutive_calculate,condition_select,amount_select,condition_python,amount_percentage_base,amount_python_compute,quantity,amount_percentage,amount_fix,appears_on_payslip,note,not_remunerate,benefit_calculate,affect_payslip,affect_percentage_days,affect_worked_days,constitutive_percentage,non_constitutive_percentage,non_const_percentage_up,non_constitutive_calculate,condition_holiday,apply_only_basic_salary,apply_other_rules,apply_in
__export__.hr_payroll_settlement_57,AUXILIO NO PRESTACIONAL RODAMIENTO,239,bits_hr_payroll_news.category_novelty_01,hr_payroll_structure_settlement_without_just_cause_integral,3,non_const,,Always True,percentage,1,contract.searchSalaryAid('239'),,worked_days.WORK100 and worked_days.WORK100.number_of_days,100,28,True,En el mes se debe cancelar el total del auxilio a menos que tenga licencia no remunerada o suspension de trabajo ,,non_rem_work_days,True,,,100,100,,,none,,,
__export__.hr_payroll_settlement_58,APORTE FONDO SOLIDARIDAD,3023,bits_hr_payroll_news.category_novelty_02,hr_payroll_structure_settlement_without_just_cause_integral,170,none,True,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = False 
else:
    result = True",4 * (contract.company_id.basic_salary),,0,-1,28,True,si el total pagos contitutivos de salario superan 4 smlv se debe aplicar el  1% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,True,,,100,70,40,True,none,,,
__export__.hr_payroll_settlement_59,APORTE SALUD,3010,bits_hr_payroll_news.category_novelty_02,hr_payroll_structure_settlement_without_just_cause_integral,180,none,True,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = False 
else:
    result = True",payslip.paid_amount,,1,-4,28,True,total pagos constitutivos de salario X 4% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,True,,,100,70,40,True,none,,,
__export__.hr_payroll_settlement_60,APORTE PENSION,3020,bits_hr_payroll_news.category_novelty_02,hr_payroll_structure_settlement_without_just_cause_integral,180,none,True,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = False 
else:
    result = True",payslip.paid_amount,,1,-4,28,True,total pagos constitutivos de salario X 4% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,True,,,100,70,40,True,none,,,
__export__.hr_payroll_settlement_61,LIQUIDACION DE VACACIONES,150,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_structure_settlement_without_just_cause_integral,185,,,Always True,percentage,1,"indemnities.compute_settlement_holidays_pay('WORK100',codes=['60','65','70','75','321'],from_date=payslip.date_from,to_date=payslip.date_to)/(indemnities._get_settlement().pending_vacation_days or 1)",,indemnities._get_settlement().pending_vacation_days or 1,100,,,(Sueldo basico + prorrateo de comisiones y Horas extras)  *4.17%. ,,,True,,,,,,,none,,CAJA,amount
__export__.hr_payroll_settlement_62,PENSIÓN EMPLEADOR,PENS,bits_hr_payroll_news.category_company_contribution_01,hr_payroll_structure_settlement_without_just_cause_integral,300,none,True,Always True,percentage,1,1,,1,12,1,True,(pagos salariales constitutivos recibidos en el mes + el excedente del 40% de pagos no constitutivos de salario ley 1393. si se paga vacaciones anticipadas en ese mes no se cancela el aporte) tarifa 12%,,,False,,,100,70,40,True,none,,,
__export__.hr_payroll_settlement_63,SALUD EMPLEADOR,SALU,bits_hr_payroll_news.category_company_contribution_01,hr_payroll_structure_settlement_without_just_cause_integral,300,none,True,Always True,percentage,result = contract.wage > (877803) * 10,1,,1,8.5,,True,"solo aplica para integrales, sena y sueldos mayores a 10 smlv, para el salario integral sobre el 70% del sueldo constitutivo de salario. Tarifa del 8.5%",,,False,,,100,70,40,True,none,,,
__export__.hr_payroll_settlement_64,ARL,ARL,bits_hr_payroll_news.category_company_contribution_01,hr_payroll_structure_settlement_without_just_cause_integral,300,none,True,Always True,percentage,6,1,,1,0.522,,True,(pagos salariales constitutivos recibidos en el mes + el excedente del 40% de pagos no constitutivos de salario ley 1393.) pero de los días laborados. Tarifa 0.522%,,,False,,,100,70,40,True,none,True,,
__export__.hr_payroll_settlement_65,CAJA,CAJA,bits_hr_payroll_news.category_company_contribution_01,hr_payroll_structure_settlement_without_just_cause_integral,300,none,True,Always True,percentage,10,1,,1,4,,True,(pagos salariales constitutivos recibidos en el mes) se debe tener en cuenta los pago de vacaciones anticipadas . Tarifa 4%,,,False,,,70,100,,,none,,,
__export__.hr_payroll_settlement_66,ICBF,ICBF,bits_hr_payroll_news.category_company_contribution_01,hr_payroll_structure_settlement_without_just_cause_integral,300,none,True,Always True,percentage,result = contract.wage > (877803) * 10,1,,1,3,,True,solo aplica para integrales y sueldos mayores a 10 smlv. Tarifa del 3%,,,False,,,70,100,,,none,,,
__export__.hr_payroll_settlement_67,SENA,SENA,bits_hr_payroll_news.category_company_contribution_01,hr_payroll_structure_settlement_without_just_cause_integral,300,none,True,Always True,percentage,result = contract.wage > (877803) * 10,1,,1,2,,True,solo aplica para integrales y sueldos mayores a 10 smlv. Tarifa del 2%,,,False,,,70,100,,,none,,,
__export__.hr_payroll_settlement_68,PROVISION DE VACACIONES,PROVA,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_structure_settlement_without_just_cause_integral,400,,,none,percentage,1,"provisions.compute_provisions(['BASIC'],codes=['60','65','70','75','321'],from_date=payslip.date_from,to_date=payslip.date_to)",,1,4.1667,,,(Sueldo basico + prorrateo de comisiones y Horas extras)  *4.17%. ,,,,,,,,,,none,,,
__export__.hr_payroll_settlement_69,INDEMNIZACION CONTRATO TERMINO INDEFINIDO,196,hr_payroll_settlement.category_settlement_01,hr_payroll_structure_settlement_without_just_cause_normal,60,none,,python,percentage,result = indemnities.get_contract_type('non-fixed'),indemnities.calculation_indenminazion_non_fixed(),100,1,100,1,True,,,,True,,,100,100,,,none,,,
__export__.hr_payroll_settlement_70,INDEMNIZACION CONTRATO TERMINO FIJO,196,hr_payroll_settlement.category_settlement_01,hr_payroll_structure_settlement_without_just_cause_normal,60,none,,python,percentage,result = indemnities.get_contract_type('fixed'),indemnities.calculation_indenminazion_fixed(),100,1,100,1,True,,,,True,,,100,100,,,none,,,
__export__.hr_payroll_settlement_71,INDEMNIZACION CONTRATO TERMINO FIJO,196,hr_payroll_settlement.category_settlement_01,hr_payroll_structure_settlement_without_just_cause_integral,60,none,,python,percentage,result = indemnities.get_contract_type('fixed'),indemnities.calculation_indenminazion_fixed(),100,1,100,1,True,,,,True,,,100,100,,,none,,,
__export__.hr_payroll_settlement_72,INDEMNIZACION CONTRATO TERMINO INDEFINIDO,196,hr_payroll_settlement.category_settlement_01,hr_payroll_structure_settlement_without_just_cause_integral,60,none,,python,percentage,result = indemnities.get_contract_type('non-fixed'),"indemnities.calculation_indenminazion_non_fixed(init_days=20, others_days=15)",100,1,100,1,True,,,,True,,,100,100,,,none,,,
__export__.hr_payroll_settlement_73,REEMBOLSO FONDO SOLIDARIDAD Y SUBSISTENCIA,R3023,bits_hr_payroll_news.category_novelty_01,hr_payroll_structure_settlement_general_normal,170,none,TRUE,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = True 
else:
    result = False",4 * (contract.company_id.basic_salary),,,1,28,TRUE,si el total pagos contitutivos de salario superan 4 smlv se debe aplicar el  1% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,TRUE,,,100,100,40,TRUE,none,,,
__export__.hr_payroll_settlement_74,REEMBOLSO APORTE SALUD,R3010,bits_hr_payroll_news.category_novelty_01,hr_payroll_structure_settlement_general_normal,180,none,TRUE,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = True 
else:
    result = False",payslip.paid_amount,,1,4,28,TRUE,total pagos constitutivos de salario X 4% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,TRUE,,,100,100,40,TRUE,none,,,
__export__.hr_payroll_settlement_75,REEMBOLSO APORTE PENSION,R3020,bits_hr_payroll_news.category_novelty_01,hr_payroll_structure_settlement_general_normal,190,none,TRUE,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = True 
else:
    result = False",payslip.paid_amount,,1,4,28,TRUE,total pagos constitutivos de salario X 4% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,TRUE,,,100,100,40,TRUE,none,,,
__export__.hr_payroll_settlement_76,REEMBOLSO FONDO SOLIDARIDAD Y SUBSISTENCIA,R3023,bits_hr_payroll_news.category_novelty_01,hr_payroll_structure_settlement_general_integral,170,none,TRUE,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = True 
else:
    result = False",4 * (contract.company_id.basic_salary),,,1,28,TRUE,si el total pagos contitutivos de salario superan 4 smlv se debe aplicar el  1% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,TRUE,,,100,100,40,TRUE,none,,,
__export__.hr_payroll_settlement_77,REEMBOLSO APORTE SALUD,R3010,bits_hr_payroll_news.category_novelty_01,hr_payroll_structure_settlement_general_integral,180,none,TRUE,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = True 
else:
    result = False",payslip.paid_amount,,1,4,28,TRUE,total pagos constitutivos de salario X 4% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,TRUE,,,100,100,40,TRUE,none,,,
__export__.hr_payroll_settlement_78,REEMBOLSO APORTE PENSION,R3020,bits_hr_payroll_news.category_novelty_01,hr_payroll_structure_settlement_general_integral,190,none,TRUE,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = True 
else:
    result = False",payslip.paid_amount,,1,4,28,TRUE,total pagos constitutivos de salario X 4% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,TRUE,,,100,100,40,TRUE,none,,,
__export__.hr_payroll_settlement_79,REEMBOLSO FONDO SOLIDARIDAD Y SUBSISTENCIA,R3023,bits_hr_payroll_news.category_novelty_01,hr_payroll_settlement.hr_payroll_structure_settlement_without_just_cause_normal,170,none,True,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = True 
else:
    result = False",4 * (contract.company_id.basic_salary),,0,1,28,TRUE,si el total pagos contitutivos de salario superan 4 smlv se debe aplicar el  1% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,TRUE,,,100,100,40,TRUE,none,,,
__export__.hr_payroll_settlement_80,REEMBOLSO APORTE SALUD,R3010,bits_hr_payroll_news.category_novelty_01,hr_payroll_settlement.hr_payroll_structure_settlement_without_just_cause_normal,180,none,True,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = True 
else:
    result = False",payslip.paid_amount,,1,4,28,TRUE,total pagos constitutivos de salario X 4% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,TRUE,,,100,100,40,TRUE,none,,,
__export__.hr_payroll_settlement_81,REEMBOLSO APORTE PENSION,R3020,bits_hr_payroll_news.category_novelty_01,hr_payroll_settlement.hr_payroll_structure_settlement_without_just_cause_normal,190,none,True,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = True 
else:
    result = False",payslip.paid_amount,,1,4,28,TRUE,total pagos constitutivos de salario X 4% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,TRUE,,,100,100,40,TRUE,none,,,
__export__.hr_payroll_settlement_82,REEMBOLSO FONDO SOLIDARIDAD Y SUBSISTENCIA,R3023,bits_hr_payroll_news.category_novelty_01,hr_payroll_settlement.hr_payroll_structure_settlement_without_just_cause_integral,170,none,True,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = True 
else:
    result = False",4 * (contract.company_id.basic_salary),,0,1,28,TRUE,si el total pagos contitutivos de salario superan 4 smlv se debe aplicar el  1% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,TRUE,,,100,100,40,TRUE,none,,,
__export__.hr_payroll_settlement_83,REEMBOLSO APORTE SALUD,R3010,bits_hr_payroll_news.category_novelty_01,hr_payroll_settlement.hr_payroll_structure_settlement_without_just_cause_integral,180,none,True,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = True 
else:
    result = False",payslip.paid_amount,,1,4,28,TRUE,total pagos constitutivos de salario X 4% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,TRUE,,,100,100,40,TRUE,none,,,
__export__.hr_payroll_settlement_84,REEMBOLSO APORTE PENSION,R3020,bits_hr_payroll_news.category_novelty_01,hr_payroll_settlement.hr_payroll_structure_settlement_without_just_cause_integral,190,none,True,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = True 
else:
    result = False",payslip.paid_amount,,1,4,28,TRUE,total pagos constitutivos de salario X 4% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,TRUE,,,100,100,40,TRUE,none,,,
__export__.hr_payroll_settlement_85,REEMBOLSO SALARIO BÁSICO,RBASIC,bits_hr_payroll_news.category_novelty_02,hr_payroll_settlement.hr_payroll_structure_settlement_general_normal,1,is_const,,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = True 
else:
    result = False",contract.wage/30,100,worked_days.WORK100 and worked_days.WORK100.number_of_days,100,1,True,sueldo / 30 X  los dias laborados,,none,True,,,100,100,,,none,,,
__export__.hr_payroll_settlement_86,REEMBOLSO SALARIO INTEGRAL,RBASIC,bits_hr_payroll_news.category_novelty_02,hr_payroll_settlement.hr_payroll_structure_settlement_general_integral,1,is_const,,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = True 
else:
    result = False",contract.wage/30,100,worked_days.WORK100 and worked_days.WORK100.number_of_days,100,1,True,sueldo integral / 30 X  los dias laborados,,none,True,,,100,100,,,none,,,
__export__.hr_payroll_settlement_87,REEMBOLSO SALARIO BÁSICO,RBASIC,bits_hr_payroll_news.category_novelty_02,hr_payroll_settlement.hr_payroll_structure_settlement_without_just_cause_normal,1,is_const,,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = True 
else:
    result = False",contract.wage/30,100,worked_days.WORK100 and worked_days.WORK100.number_of_days,100,1,True,sueldo / 30 X  los dias laborados,,none,True,,,100,100,,,none,,,
__export__.hr_payroll_settlement_88,REEMBOLSO SALARIO INTEGRAL,RBASIC,bits_hr_payroll_news.category_novelty_02,hr_payroll_settlement.hr_payroll_structure_settlement_without_just_cause_integral,1,is_const,,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = True 
else:
    result = False",contract.wage/30,100,worked_days.WORK100 and worked_days.WORK100.number_of_days,100,1,True,sueldo integral / 30 X  los dias laborados,,none,True,,,100,100,,,none,,,
